"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
390,-2057654736,10,-16,16,10,16,20,-16,10,0,20
391,-2057654580,10,-16,16,10,16,20,-16,10,10,0
392,-2057654392,10,-16,16,10,16,20,-16,10,10,10
393,-2057654158,10,-16,16,10,16,20,-16,10,10,20
394,-2057654002,10,-16,16,10,16,20,-16,10,20,0
395,-2057653830,10,-16,16,10,16,20,-16,10,20,10
396,-2057653642,10,-16,16,10,16,20,-16,10,20,20
397,-2057653470,10,-16,16,10,16,20,-16,20,0,0
398,-2057653314,10,-16,16,10,16,20,-16,20,0,10
399,-2057653173,10,-16,16,10,16,20,-16,20,0,20
400,-2057653064,10,-16,16,10,16,20,-16,20,10,0
401,-2057652939,10,-16,16,10,16,20,-16,20,10,10
402,-2057652814,10,-16,16,10,16,20,-16,20,10,20
403,-2057652673,10,-16,16,10,16,20,-16,20,20,0
404,-2057652533,10,-16,16,10,16,20,-16,20,20,10
405,-2057652408,10,-16,16,10,16,20,-16,20,20,20
406,-2057652267,10,-16,16,20,16,0,-16,0,0,0
407,-2057652111,10,-16,16,20,16,0,-16,0,0,10
408,-2057652048,10,-16,16,20,16,0,-16,0,0,20
409,-2057651892,10,-16,16,20,16,0,-16,0,10,0
410,-2057651798,10,-16,16,20,16,0,-16,0,10,10
411,-2057651705,10,-16,16,20,16,0,-16,0,10,20
412,-2057651580,10,-16,16,20,16,0,-16,0,20,0
413,-2057651486,10,-16,16,20,16,0,-16,0,20,10
414,-2057651283,10,-16,16,20,16,0,-16,0,20,20
415,-2057651080,10,-16,16,20,16,0,-16,10,0,0
416,-2057650939,10,-16,16,20,16,0,-16,10,0,10
417,-2057650798,10,-16,16,20,16,0,-16,10,0,20
418,-2057650627,10,-16,16,20,16,0,-16,10,10,0
419,-2057650470,10,-16,16,20,16,0,-16,10,10,10
420,-2057650330,10,-16,16,20,16,0,-16,10,10,20
421,-2057650189,10,-16,16,20,16,0,-16,10,20,0
422,-2057650111,10,-16,16,20,16,0,-16,10,20,10
423,-2057649955,10,-16,16,20,16,0,-16,10,20,20
424,-2057649830,10,-16,16,20,16,0,-16,20,0,0
425,-2057649642,10,-16,16,20,16,0,-16,20,0,10
426,-2057649455,10,-16,16,20,16,0,-16,20,0,20
427,-2057649205,10,-16,16,20,16,0,-16,20,10,0
428,-2057649017,10,-16,16,20,16,0,-16,20,10,10
429,-2057648939,10,-16,16,20,16,0,-16,20,10,20
430,-2057648767,10,-16,16,20,16,0,-16,20,20,0
431,-2057648689,10,-16,16,20,16,0,-16,20,20,10
432,-2057648564,10,-16,16,20,16,0,-16,20,20,20
433,-2057648439,10,-16,16,20,16,10,-16,0,0,0
434,-2057648330,10,-16,16,20,16,10,-16,0,0,10
435,-2057648158,10,-16,16,20,16,10,-16,0,0,20
436,-2057647970,10,-16,16,20,16,10,-16,0,10,0
437,-2057647814,10,-16,16,20,16,10,-16,0,10,10
438,-2057647705,10,-16,16,20,16,10,-16,0,10,20
439,-2057647595,10,-16,16,20,16,10,-16,0,20,0
440,-2057647330,10,-16,16,20,16,10,-16,0,20,10
441,-2057647127,10,-16,16,20,16,10,-16,0,20,20
442,-2057646955,10,-16,16,20,16,10,-16,10,0,0
443,-2057646845,10,-16,16,20,16,10,-16,10,0,10
444,-2057646736,10,-16,16,20,16,10,-16,10,0,20
445,-2057646642,10,-16,16,20,16,10,-16,10,10,0
446,-2057646470,10,-16,16,20,16,10,-16,10,10,10
447,-2057646314,10,-16,16,20,16,10,-16,10,10,20
448,-2057646142,10,-16,16,20,16,10,-16,10,20,0
449,-2057646017,10,-16,16,20,16,10,-16,10,20,10
450,-2057645830,10,-16,16,20,16,10,-16,10,20,20
451,-2057645673,10,-16,16,20,16,10,-16,20,0,0
452,-2057645564,10,-16,16,20,16,10,-16,20,0,10
453,-2057645455,10,-16,16,20,16,10,-16,20,0,20
